cik	ticker	market_cap
1004315	ngg	45937386798
1467858	gm	45569983304
878927	odfl	45498136248
866787	azo	45426325347
1565025	abev	45360624531
1032208	sre	45033218223
1397187	lulu	44613994471
47111	hsy	44576045789
75362	pcar	44532537992
4977	afl	44305179609
723531	payx	44058694316
55785	kmb	43791596498
827054	mchp	43704599823
7084	adm	43354539869
1682852	mrna	43322854292
1051470	cci	43311476189
311337	su	43186882577
107263	wmb	42416616415
932787	stm	42400342942
766704	well	42167486751
1276187	et	42150406567
1408198	msci	42087019776
1167379	alc	42029767000
849395	crh	41991088572
1335730	mfg	41886322368
900075	cprt	41844822905
745732	rost	41623241964
1571996	dell	41591054278
1637459	khc	41565485948
1111711	nimc	41532107199
73309	nue	41521733148
5272	aig	41197631241
1471055	bsbr	41196591417
1300514	lvs	41142544160
1791706	li	41062249267
715957	d	40956740829
874716	idxx	40931758137
4904	aep	40801942685
1385157	tel	40733536205
1478242	iqv	40614684936
40704	gis	40417814650
1097864	on	40404055963
1109357	exc	40057572599
726728	o	40025233965
833444	jci	39887163593
92230	tfc	39120135678
882184	dhi	39113848730
3570	lng	39113303111
1585689	hlt	38892297536
927628	cof	38750636804
1060736	sgen	38714576073
1506307	kmi	38680950771
1093557	dxcm	38511790625
1297996	dlr	38489486859
718940	bce	38393374197
1751788	dow	38387876272
875045	biib	38385424942
1915403	satx	38077502128
1671933	ttd	37358020445
1835632	mrvl	37278369000
920760	len	37069477615
86312	trv	36820794612
1045520	cm	36811729150
1232384	trp	36694140000
1037868	ame	36570177666
1560385	fwonk	36540951982
1063761	spg	36538316797
1140859	abc	36470322274
1701605	bkr	36347541984
1041061	yum	36234120746
1755672	ctva	36148280520
1475260	cve	35976472210
1058290	ctsh	35666023103
96021	syy	35609633309
277135	gww	35511627124
1024478	rok	35497511124
1318220	wcn	35453444787
1090872	a	35421465936
820027	amp	35033242156
1552000	mplx	35002541670
1781335	otis	34850096715
45012	hal	34782726538
1071739	cnc	34665496015
1666700	dd	34654516173
1442145	vrsk	34507742939
1390777	bk	34461124209
29534	dg	34305814244
1535527	crwd	34150715362
1512673	sq	34084956847
889132	pkx	34083586177
1137774	pru	33998580000
1116578	puk	33917171802
1868275	ceg	33886114479
202058	lhx	33682641296
56873	kr	33455511017
1057352	csgp	33389683782
1160330	bbd	33309992814
1136893	fis	33154367981
26172	cmi	32949955148
1086888	mfc	32862411599
815556	fast	32754521119
79879	ppg	32696269929
712515	ea	32650272902
1834584	cpng	32588851995
1123360	gpn	32574634854
49938	imo	32519797510
1090012	dvn	32400199000
1832433	ferg	32239741792
1560385	fwona	32068725518
72903	xel	31906169125
1489393	lyb	31557356129
1067701	uri	31212020799
1437107	wbd	31174146476
1705696	vici	31152781331
1164727	nem	31026354575
1321655	pltr	31014033277
1725964	ntr	30945097555
1047862	ed	30943094810
47217	hpq	30890005052
1792789	dash	30873877065
1176948	ares	30692621800
788784	peg	30535614406
1393052	veev	30505022609
1050915	pwr	30154923128
1561550	ddog	30075449936
105770	wst	29793397084
1160330	bbdo	29691654936
1038143	oran	29565761480
1039684	oke	29268980059
1776985	bntx	29083155679
49196	hbanm	28957648680
1709048	gfs	28888862400
1650107	ccep	28833894642
1396009	vmc	28580841829
1132924	cht	28500858625
756894	gold	28421026920
1697862	argx	28174886320
1097362	slf	28000999000
1521332	aptv	27962837058
1699150	ir	27944002893
24741	glw	27849859721
1402057	cdw	27727798393
947484	acgl	27669476772
899051	all	27575105147
1097149	algn	27449578277
935703	dltr	27403889689
1639920	spot	27304145400
27904	dal	27287373284
1659166	ftv	27285409306
1410636	awk	27278916663
1123799	wit	27274951173
749251	it	27154500727
916076	mlm	27137611008
1456346	fnv	27074550719
1539838	fang	26944359827
783325	wec	26890793768
1013462	anss	26744669145
827052	eix	26722892975
839923	vod	26281676617
1138118	cbre	26209204118
1120193	ndaq	26123280227
1604174	eccx	26030167317
1604174	eccw	25972986213
915912	avb	25888016068
1037646	mtd	25837655431
1492426	hznp	25681740801
1404655	hubs	25583839556
1269238	tcom	25545482458
1326160	dukb	25358615239
1061736	fmx	25335486998
884887	rcl	25186964657
868675	tu	25134390000
1754836	eica	25097060696
1691493	nu	25056000000
1110803	ilmn	25043060000
1441816	mdb	25008393144
1383650	cqp	24971423586
1113169	trow	24759935979
49196	hbanp	24686395500
1597033	sabrp	24635744992
1136869	zbh	24559554669
33185	efx	24529292389
1524472	xyl	24521160721
906107	eqr	24474122778
1041792	elp	24382693913
1001807	tlk	24131555964
1034054	sbac	24128162017
1883685	dkng	24089953425
106535	wy	24019686760
1061574	gib	24014431352
1178670	alny	23957624962
2809	aem	23936581741
946581	ttwo	23912172275
916365	tsco	23828923092
943819	rmd	23785135241
1280452	mpwr	23596120860
1604174	eccc	23589196656
1444406	ec	23477632674
1065088	ebay	23345744699
313927	chd	23236677736
814052	tef	23158702592
1560385	batra	23129883917
1601046	keys	23055816270
1070304	ix	23001305114
46619	hei	22993922565
721371	cah	22847820333
72741	es	22749922564
1546066	pba	22539527208
1393612	dfs	22377844082
1159508	db	22358400000
1673358	yumc	22287211847
915913	alb	22253642411
1837240	sym	22114395572
874766	hig	21997385161
63754	mkc	21994089200
1383312	br	21950279467
93751	stt	21794997888
1618921	wba	21716568272
48465	hrl	21708698983
1645590	hpe	21684589554
924613	nok	21684345668
1140536	wtw	21645928437
936340	dte	21642251367
720005	rjf	21558712484
40987	gpc	21551607347
814547	fico	21501490110
720672	sf	21333235724
733099	rci	21311781120
1014473	vrsn	21300216485
1243429	mt	21156227395
858470	ctra	21125370613
1002910	aee	21104042651
36270	mtb	21092071636
10456	bax	21091761045
1618756	qsr	21068620262
55067	k	21009815690
886986	teck	20876349000
1060955	iclr	20864023592
1031296	fe	20858923384
1703399	se	20839601270
1306550	bgr	20784561320
79282	bro	20768986068
1477333	net	20664728989
1687229	invh	20653523370
1805284	rkt	20628230933
1713683	zs	20620257685
1585521	zm	20335661382
1560385	batrk	20279330538
1403568	ulta	20225098155
65984	etr	20146636907
4281	hwm	20140483173
29905	dov	20140432062
943452	wab	20103797385
1758730	tw	20070372381
906163	nvr	20042502690
1121788	grmn	20041149091
1035443	are	20031476566
1175454	flt	19997254728
1677250	zto	19884478812
798941	fcnca	19829865233
1353283	splk	19646055000
84839	rol	19604409873
1094285	tdy	19589157875
1096343	mkl	19548810375
1335258	lyv	19526031117
1323404	wpm	19482196690
1874178	rivn	19465240107
313216	phg	19401386399
1190723	ts	19354901328
728535	jbht	19306839293
100493	tsn	19303370913
21076	clx	19262371471
1389170	trgp	19080420702
1666175	fts	19071744000
1736541	nio	18944544594
1274494	fslr	18883517203
920148	lh	18804464000
940944	dri	18785316003
1179929	moh	18727126000
922224	ppl	18626227406
1809587	beke	18617715500
1125259	cuk	18526105946
92380	luv	18518252448
859737	holx	18507823640
711404	coo	18484278505
1126328	pfg	18445264172
1802768	rprx	18289390334
910631	kof	18199509868
1506293	pins	18163873070
1020569	irm	18109441978
1397911	lpla	18059592450
1122411	asx	18014876971
1130310	cnp	17812071432
1567094	cnhi	17720214440
909037	sqm	17629605504
1048477	bmrn	17628212735
1281761	rf	17613344868
35527	fitb	17566929931
1033767	umc	17556667575
815097	ccl	17532581935
1488813	cubb	17523176875
48898	hubb	17483174906
1679788	coin	17482260945
35527	fitbi	17464796617
740260	vtr	17455154647
1590955	payc	17393347795
1289490	exr	17357916219
731802	ato	17341902406
857005	ptc	17289043868
832101	iex	17157040947
1439124	ebr	17134077250
1144519	bg	17101709696
1463101	enph	17085328237
822416	phm	17066273191
52988	j	17026571111
746515	expd	17009654212
1374310	cboe	16960668000
1766363	edr	16952075526
51253	iff	16951325498
912595	maa	16946162542
4127	swks	16927491359
1022671	stld	16915604800
1262823	wlk	16843231215
1411579	amc	16766608738
1376986	tve	16738324621
1319161	wmg	16676908627
717826	eric	16670758675
1000697	wat	16634517397
1316835	bldr	16614869255
811156	cms	16572992236
1315098	rblx	16549451658
9389	ball	16534274908
1013237	fds	16440975039
20286	cinf	16378920436
749098	mga	16296999707
1002047	ntap	16258897083
861884	rs	16256608776
35527	fitbp	16177916866
860731	tyl	16168629043
764478	bby	16162854327
1174169	aqnb	16161527572
1015922	chkp	16149234800
100517	ual	16133370879
97210	ter	16105216374
1754301	foxa	16033213853
49196	hban	15955664423
29989	omc	15892635131
1009001	ccj	15859081474
1823945	owl	15787977069
11544	wrb	15781027272
908937	siri	15753852501
101778	mro	15699411628
1086222	akam	15659846516
73124	ntrs	15635025791
1445930	kb	15604855117
1324424	expe	15507752243
1423689	agncn	15436790614
1552033	tru	15404077000
912593	sui	15349555869
1564408	snap	15335532302
33213	eqt	15316202790
92122	soje	15284346524
920522	ess	15275626352
91419	sjm	15237231329
789570	mgm	15133850980
217346	txt	15104863041
1378789	aer	15087883721
1443646	bah	15076540639
1069183	axon	15005077392
8818	avy	14993242466
898293	jbl	14909736252
1754301	fox	14888333767
1022079	dgx	14864403268
1722482	avtr	14856687091
1811074	tpl	14735533203
1355096	qrtep	14587340430
1101302	entg	14584520971
1406234	bip	14568821529
1324404	cf	14534744215
879169	incy	14527605267
1674101	vrt	14524744408
1787425	xp	14506223956
1124140	exas	14476712653
23217	cag	14459700603
1066119	viv	14306587887
1352010	epam	14221835362
1423689	agncm	14218575100
1031308	bsy	14176079225
1751008	app	14137892481
1560385	lsxmb	14056370503
1679273	lw	14043726836
1423689	agnco	14042812663
1811210	lcid	14038299105
60086	l	14033403290
1333141	fms	14031031131
91440	sna	14028706040
1748790	amcr	14022859424
1402436	ssnc	14012032041
1341766	celh	14004199174
813828	parap	13998700504
1032033	slmbp	13950997585
1065696	lkq	13939687242
93556	swk	13933208174
1025378	wpc	13881646265
877212	zbra	13857251211
1001085	bam	13841137376
1855612	grab	13837500000
945841	pool	13836113325
72331	ndsn	13829436392
105016	wso	13787432822
1263043	shg	13747367160
769218	aeg	13729588018
1773383	dt	13723041440
1137789	stx	13701434533
1286681	dpz	13625363528
1634997	agr	13552452862
1651308	bgne	13548826371
910521	deck	13492959321
1611983	lbrda	13450143253
1611983	lbrdk	13435521943
1423689	agncl	13424613746
1545772	bpypm	13408172190
1375365	smci	13392964129
1601712	syf	13373494259
1126975	mmp	13372665852
1642896	iot	13361273160
35527	fitbo	13324992974
1336920	ldos	13303830161
1810806	u	13302134639
75677	pkg	13291247273
106040	wdc	13248609101
759944	cfg	13246759278
864749	trmb	13225611984
1306830	ce	13222070063
1841666	apa	13181685832
1792044	vtrs	13146876145
42888	ggg	13123979139
1545772	bpypp	13117079608
1560385	lsxmk	13113667810
790051	csl	13109233842
1711269	evrg	13028706175
74208	udr	13001288850
1897982	azpn	12997474660
1423689	agncp	12970055718
858446	ihg	12966359224
38777	ben	12948474429
1560385	lsxma	12934105393
1069202	lii	12898812646
922621	erie	12882378113
1159152	jhx	12877099902
110621	rpm	12867727159
1792580	ovv	12815781000
352541	lnt	12810330773
1562401	amh	12807607126
1646972	aci	12803109856
24545	tap	12799555936
62996	mas	12775799526
1545772	bpypo	12754333466
1285785	mos	12719678745
1483994	htht	12707985260
1145197	podd	12652284793
1170010	kmx	12639402313
16732	cpb	12588420726
51644	ipg	12525775073
855658	lscc	12461834400
895417	els	12433931411
1003935	nice	12427277392
1370946	oc	12407859097
842023	tech	12378721657
891103	mtch	12305338909
1849253	ryan	12297875931
868857	acm	12248572934
1564708	nws	12182721517
1076378	cx	12166421019
866374	flex	12148253312
884614	ugic	12114876462
1575965	glpi	12094580197
1780232	gfl	12012705309
874761	aes	11999752307
714310	vlypo	11975103304
1056696	manh	11952030516
1564708	nwsa	11937009967
51434	ip	11919669994
1627014	bki	11852528407
1468174	h	11830611355
1744676	tme	11823771433
845982	snn	11773669196
1617640	z	11755388072
1135951	rdy	11710240240
1660134	okta	11709407960
813828	paraa	11654732047
879101	kim	11635205299
1545772	bpypn	11589963136
779152	jkhy	11573346587
1716951	occin	11559127894
1163653	nmr	11528011326
906345	cpt	11518405532
1617640	zg	11457370708
895126	chk	11441790182
1801198	legn	11404495612
1889539	crbg	11389994097
1786352	bill	11383666074
1001290	bap	11321890800
1172724	gfi	11320507852
1070750	hst	11264705124
12208	bio	11205396361
1590895	czr	11188614700
1591698	pcty	11180873331
1692819	vst	11179630069
77360	pnr	11163311836
765880	peak	11148966389
1650164	tost	11134848455
1474432	pstg	11092711289
1588823	tfii	11089841161
1725057	cday	11088950456
873303	srpt	11062877777
37785	fmc	11052638536
1766502	chwy	11032880840
1174922	wynn	11027897768
4457	uhal	11023498414
1161125	bch	11005810997
1111711	ni	10992577627
1046102	rba	10980913112
1019849	pag	10964938251
1571283	rexr	10964120865
1177702	saia	10955928520
1331875	fnf	10952975417
1527166	cg	10924546599
1428439	roku	10857892803
818686	teva	10836686912
1043277	chrw	10832774107
1219601	cck	10824661387
59527	leco	10806194490
1287750	arcc	10790854459
1447669	twlo	10772871352
1032975	logi	10757654607
91142	aos	10641188205
1082554	uthr	10607245966
21175	cna	10598819769
320335	gl	10585669075
1002638	otex	10573566314
1070423	paa	10559656891
1062579	dox	10556043400
910606	reg	10554318553
1609711	gddy	10547007278
105634	eme	10488485986
914475	nbix	10437093856
1848739	gdev	10401889945
82811	rrx	10396296745
737758	ttc	10382249850
1423902	wes	10318217136
1507079	fnd	10297254996
1037540	bxp	10255804214
1015820	qgen	10233736800
1511737	ui	10219488216
91576	key	10201516250
1000228	hsic	10184292330
1100682	crl	10173120956
1604778	qrvo	10161145982
96943	tfx	10128689951
714310	vlypp	10092032270
1579298	burl	10075890556
1333986	eqh	10041547678
1043219	nly	10006575736
1381197	ibkr	9982583646
1177609	five	9945779021
1089063	dks	9944544754
895126	chkew	9904231133
915389	emn	9902960461
1042046	afg	9839091581
1584509	armk	9814520554
46080	has	9802042748
78128	wtrg	9800548362
1569650	ozk	9772373487
1604028	wms	9746033429
916540	dar	9739796815
1579241	alle	9726903573
1321732	pen	9706410507
1261333	docu	9661193211
1289419	morn	9655518069
1618673	pfgc	9651375607
1091907	wwe	9640930432
1757898	ste	9640447148
895126	chkez	9635547594
1699838	cflt	9626080005
6201	aal	9624043412
5513	unm	9622778304
1467623	dbx	9616613013
1783879	hood	9614711968
89089	sci	9605090021
1024305	coty	9602492103
813828	para	9597248624
61398	telz	9541843506
1529192	vips	9509293981
908255	bwa	9491844748
1177394	snx	9449475134
1048695	ffiv	9419046101
1569650	ozkap	9416412277
20212	chdn	9411799087
1298675	cube	9374517619
1109354	brkr	9369227908
1665918	usfd	9354940016
352915	uhs	9334879489
1347557	pac	9311253033
822818	clh	9289033378
1611052	pcor	9279178901
1278021	mktx	9264125505
730272	rgen	9262240211
913144	rnr	9229566026
1372920	edu	9209435459
1090425	lamr	9204979044
898174	rga	9197480999
927066	dva	9180215000
880266	agco	9132680098
1419612	sedg	9132390550
719955	wsm	9110585408
726958	casy	9092783537
895126	chkel	9079650618
1043604	jnpr	9065568985
1027552	bsac	9031280627
1783398	uwmc	8980816998
1137774	prh	8976990000
1232524	jazz	8971456785
1720635	nvt	8945192614
1455863	cold	8931926131
764622	pnw	8931267840
1669162	knsl	8922533054
1370637	etsy	8886516912
811156	cmsc	8869716880
811156	cmsd	8862200170
811156	cmsa	8843408397
1027664	eslt	8837624500
1633931	bld	8758026815
1501585	hii	8729411010
1492691	knx	8724392460
887225	kep	8717872166
1635088	roiv	8712969404
723612	car	8710064169
1531152	bj	8696389315
18748	cet	8683864176
1137774	prs	8675700000
1013871	nrg	8656737262
1378239	omab	8647298827
910073	nycb	8643844665
1073404	ggb	8617995529
1690820	cvna	8595080223
812011	mtn	8571251025
896622	atr	8494097887
1734722	path	8462326474
794170	tol	8425894520
831641	ttek	8411740362
842162	lea	8395535199
314590	ssl	8371863680
1023128	lad	8370155579
1533232	bep	8297739700
1732845	wrk	8280386639
1170858	sbs	8256799218
1357615	kbr	8255526990
1596783	ctlt	8219329644
1570585	lbtyk	8219287673
1309108	wex	8208080433
701985	bbwi	8198978852
1123452	asr	8198400000
1166003	xpo	8190761217
929008	wcc	8174249101
851205	cgnx	8173585376
1557860	glob	8170368300
216228	itt	8154993000
49600	egp	8148639945
1681459	fti	8143694530
1021860	nov	8143304348
1880661	tpg	8133467556
350894	seic	8124137416
1034670	alv	8117623767
1342874	tx	8115201445
1037976	jll	8094048018
1647088	wsc	8087519817
1845338	mndy	8076653200
1308547	dlb	8053949157
1884082	psny	8038879020
1668397	medp	7996749555
936340	dtw	7996095456
315213	rhi	7995833773
34903	frt	7982757619
818479	xray	7971107626
1810997	xpev	7968229464
947484	acglo	7951384887
1433270	ar	7945151351
26324	cw	7943782562
935494	nati	7929338546
1858985	onon	7912358800
1642545	swav	7875610077
40729	ally	7842087968
1818874	sofi	7819441257
1069157	ewbc	7799994617
1015650	skm	7794154833
15615	mtz	7789831695
941221	icl	7765800000
70318	thc	7756269345
74260	ori	7753668101
96223	jef	7749773131
63276	mat	7727323694
1206264	tpx	7720797502
1116132	tpr	7695686960
108312	wwd	7690556304
769520	midd	7689890110
1754581	futu	7681029400
1378992	bery	7665752000
1570585	lbtya	7654927704
813762	iep	7652766152
1528849	rh	7649029907
19584	che	7635101394
1658566	pr	7631142728
1570585	lbtyb	7629467856
315852	rrc	7621898686
1722380	aiu	7598062972
1032208	srea	7557978631
938323	pso	7532700000
1535929	voya	7526253973
888491	ohi	7522482432
1509589	civi	7521480627
1838413	ymm	7503647915
355811	gntx	7495623827
106640	whr	7482625878
103379	vfc	7481828285
764065	clf	7472540357
1065837	skx	7471524617
1069878	trex	7453938532
16058	caci	7453330620
1037038	rl	7442404568
29644	dci	7433358485
1173382	cae	7424610448
1474735	gnrc	7412203095
1616707	w	7396616545
801337	wbs	7391712527
1131383	stn	7356250267
1267238	aiz	7341521242
85535	rgld	7333490264
74303	oln	7329378014
7536	arw	7324086750
892553	gtls	7286168417
1520006	mtdr	7278766593
1856525	cnm	7263724597
1067428	au	7254346197
1475922	pri	7254298553
1852244	gxo	7251517616
1815846	mnso	7250419562
1826168	timb	7247888673
7332	swn	7247626882
866291	algm	7244895977
1005284	oled	7226956633
1618732	ntnx	7226024568
1302215	hli	7197456871
1794515	zi	7178274499
751364	nnn	7161348445
1915657	dino	7138813748
1650729	site	7086337084
1723089	chx	7084811784
66570	msa	7076133347
1513761	nclh	7075074519
939767	exel	7061685811
717423	mur	7048852093
707179	onbpo	7029450725
750004	lnw	7027170210
707179	onbpp	7022136000
1910851	rcm	7017555126
71691	nyt	7017282730
1137774	pfh	7015300000
785161	ehc	7015152712
1520697	achc	7004131890
909327	suz	7003701140
936340	dtb	6965119802
1433195	appf	6939628678
1430162	csan	6915355200
1831097	agl	6905360691
914208	ivz	6904270172
36966	fhn	6899968255
1289460	txrh	6899785002
1653482	gtlb	6886696000
921825	fr	6861338143
1438569	grfs	6848046884
1021635	oge	6841816354
350698	an	6835310913
1573516	musa	6822272982
947484	acgln	6810144842
1398659	g	6798860569
1451448	gmblp	6789315192
936340	dtg	6787543728
1046257	ingr	6782781245
1486957	bwxt	6741976845
1408075	gpk	6737137559
853816	lstr	6721990264
1771917	krtx	6704123053
1600033	elf	6678101029
1163302	x	6671076716
1818201	cccs	6649989295
1047127	amkr	6649444762
920371	ssd	6598075758
1479094	stag	6593680507
1637810	fsv	6589305192
1071371	cib	6586110383
1092699	spsc	6578149479
1528396	gwre	6557942945
906553	byd	6541787667
1486159	chrd	6536938161
889331	lfus	6531780877
775158	osk	6530108500
317540	coke	6525212387
1581068	brx	6513846864
892450	kt	6513725728
1796209	apg	6505335574
1835963	glbe	6491393700
1035983	fix	6481119009
1598110	cybr	6467558900
22444	cmc	6466756087
1046311	chh	6465724609
1358762	reta	6443540743
918646	exp	6435156389
1836056	amam	6428577529
1264136	wf	6423900405
1619762	igt	6422345700
1609550	insp	6413377511
887936	fcn	6393775887
1860742	blco	6393279704
1049502	mksi	6392082533
931015	pii	6384260334
1360604	hr	6370393675
1571123	saic	6364655769
1604821	ntra	6361539701
937098	tnet	6343521763
912767	ufpi	6342400415
885550	cacc	6325576419
1050140	dsgx	6305132729
1402388	wfg	6295093746
936395	cien	6284921438
1465128	stwd	6277438565
1722684	wh	6266189223
1842827	bz	6256938708
1014739	opch	6252514301
851968	mhk	6247856325
1544522	frsh	6223616436
22356	cbsh	6218789399
1472787	faf	6218174061
1603923	wfrd	6214277099
795403	wts	6199877762
28412	cma	6196132111
1616862	axta	6185476481
39263	cfr	6150688807
1530721	cpri	6148226483
701818	kgc	6125539370
717605	hxl	6083219786
1748797	dooo	6079228187
1423689	agnc	6054712926
230557	sigi	6053051589
1418819	irdm	6031193428
1739104	elan	6005715320
28917	dds	6002769316
917251	adc	5980223509
1749723	nfe	5976665485
275880	psn	5976366331
1703056	adt	5971862674
1334036	crox	5969629945
1448056	newr	5959334827
1527166	cgabl	5953607932
109563	ait	5950823790
802481	ppc	5924484024
1451505	rig	5918577990
917273	rmbs	5910560740
937556	masi	5903476355
771992	paas	5882061600
924805	frhc	5872254170
1868778	infa	5860786467
12659	hrb	5860747026
904851	ypf	5859588647
874015	ions	5856308859
84246	rli	5850903871
1723690	bili	5831886266
1534504	pbf	5822573170
895419	wolf	5816682637
1428336	hqy	5806897090
1623925	am	5789716755
1786431	reyn	5766853483
1592000	enlc	5741031761
1477294	st	5731083744
1493594	mtsi	5720193378
1003078	msm	5685100131
14930	bc	5662151260
1113232	acls	5657730794
1408710	fn	5647096439
1018963	ati	5643583668
1422183	fsk	5640537961
897077	alg	5633345987
1821825	ogn	5629212756
1612042	asnd	5627786489
1666138	atkr	5627012205
1142417	nxst	5615319996
1076930	novt	5607584321
1159036	halo	5598722147
91767	son	5597218411
1445305	wk	5595608989
704532	onto	5591530493
1707753	estc	5587872394
1562088	duol	5585954662
1770787	txg	5546836477
932696	nsit	5544046907
1107843	qlys	5534712427
1674910	vvv	5533044228
94845	levi	5525567437
1437578	bfam	5524439514
1739566	utz	5520612686
